Sample	No. Passed QC Reads	Mapped Reads	Mapped Reads % (mapq >= 40)	Duplicate Read %	Times coverage (mean)
SAMEA111483639	2,634,836 	88.85%	98.7%	60.41%	908.5086X
SAMEA6596116	800,050 	15.30%	99.62%	6.16%	184.7638X
SAMEA6813268	2,364,706 	86.12%	100%	19.25%	2,500.4798X
SAMEA7232591	1,162,276 	90.63%	100%	14.03%	1,286.732X
SAMEA7232592	4,622,748 	95.96%	100%	22.54%	5,341.2793X
SAMEA7232593	856,740 	90.57%	99.97%	10.27%	936.0541X
SAMEA7232834	13,048 	99.43%	100%	2.43%	212.1169X
SAMN13191036	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13191038	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13191039	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13191040	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13191042	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13191216	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13194022	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13195022	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13195023	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13195024	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13195025	0 	Failed QC	Failed QC	Failed QC	Failed QC
SAMN13195543	695,328 	7.45%	99.7%	2.05%	63.7687X
SAMN13195580	3,046,086 	17.37%	99.33%	11.17%	288.9813X
SAMN13195741	3,579,580 	11.35%	99.2%	3.72%	377.3649X
SAMN18055832	110,148 	99.55%	99.85%	13.24%	86.3417X
SAMN18312883	53,220 	98.90%	99.69%	3.2%	27.5828X
SAMN18312884	9,302 	99.09%	99.89%	10.56%	7.2789X
SAMN18312885	43,668 	98.80%	99.72%	3.19%	22.5927X
SAMN18312887	50,864 	98.68%	99.62%	4.24%	26.2742X
SAMN18312888	144,674 	99.46%	99.86%	13.16%	113.8053X
SAMN18312889	132,844 	99.46%	99.89%	14%	104.217X
SAMN18312890	9,014 	98.96%	99.6%	9.46%	7.0272X
